job_title_name,course_id,name,en_name,completions
Consulting,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"4,649"
Consulting,16,Pair Programming with a Large Language Model,pair-programming-llm,"2,976"
Consulting,13,Finetuning Large Language Models,finetuning-large-language-models,"2,683"
Consulting,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,"2,655"
Consulting,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,"2,378"
Consulting,6,LangChain for LLM Application Development,langchain,928
Consulting,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,753
Consulting,9,LangChain Chat with Your Data,langchain-chat-with-your-data,736
Consulting,8,Building Systems with the ChatGPT API,chatgpt-building-system,619
Consulting,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,378
Consulting,7,How Diffusion Models Work,diffusion-models,347
Consulting,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,330
Consulting,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,254
Consulting,24,LLMOps,llmops,244
Consulting,12,Large Language Models with Semantic Search,large-language-models-semantic-search,234
Consulting,10,Building Generative AI Applications with Gradio,huggingface-gradio,232
Consulting,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,232
Consulting,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,229
Consulting,44,AI Agents in LangGraph,ai-agents-in-langgraph,215
Consulting,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,212
Consulting,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,208
Consulting,30,Knowledge Graphs for RAG,knowledge-graphs-rag,202
Consulting,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,201
Consulting,45,Building Your Own Database Agent,building-your-own-database-agent,187
Consulting,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,175
Consulting,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,169
Consulting,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,157
Consulting,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,150
Consulting,26,Building Applications with Vector Databases,building-applications-vector-databases,149
Consulting,33,Red Teaming LLM Applications,red-teaming-llm-applications,148
Consulting,29,Open Source Models with Hugging Face,open-source-models-hugging-face,147
