job_title_name,course_id,name,en_name,enrollments
Consulting,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"25,211"
Consulting,13,Finetuning Large Language Models,finetuning-large-language-models,"6,129"
Consulting,6,LangChain for LLM Application Development,langchain,"5,629"
Consulting,16,Pair Programming with a Large Language Model,pair-programming-llm,"5,559"
Consulting,15,Understanding and Applying Text Embeddings,google-cloud-vertex-ai,"5,552"
Consulting,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,"5,073"
Consulting,18,Vector Databases: from Embeddings to Applications,vector-databases-embeddings-applications,"4,841"
Consulting,8,Building Systems with the ChatGPT API,chatgpt-building-system,"4,742"
Consulting,9,LangChain Chat with Your Data,langchain-chat-with-your-data,"3,600"
Consulting,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,"2,361"
Consulting,10,Building Generative AI Applications with Gradio,huggingface-gradio,"1,832"
Consulting,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,"1,798"
Consulting,7,How Diffusion Models Work,diffusion-models,"1,720"
Consulting,24,LLMOps,llmops,"1,631"
Consulting,17,"Functions, Tools and Agents with LangChain",functions-tools-agents-langchain,"1,569"
Consulting,12,Large Language Models with Semantic Search,large-language-models-semantic-search,"1,529"
Consulting,44,AI Agents in LangGraph,ai-agents-in-langgraph,"1,465"
Consulting,14,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,microsoft-semantic-kernel,"1,461"
Consulting,30,Knowledge Graphs for RAG,knowledge-graphs-rag,"1,338"
Consulting,43,AI Agentic Design Patterns with AutoGen,ai-agentic-design-patterns-with-autogen,"1,306"
Consulting,11,Evaluating and Debugging Generative AI,evaluating-debugging-generative-ai,"1,254"
Consulting,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,"1,243"
Consulting,29,Open Source Models with Hugging Face,open-source-models-hugging-face,"1,240"
Consulting,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,"1,209"
Consulting,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,"1,157"
Consulting,45,Building Your Own Database Agent,building-your-own-database-agent,"1,142"
Consulting,26,Building Applications with Vector Databases,building-applications-vector-databases,"1,141"
Consulting,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,"1,090"
Consulting,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,"1,031"
Consulting,21,Reinforcement Learning From Human Feedback,reinforcement-learning-from-human-feedback,851
Consulting,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,841
Consulting,42,Introduction to on-device AI,introduction-to-on-device-ai,821
Consulting,33,Red Teaming LLM Applications,red-teaming-llm-applications,821
Consulting,36,Getting Started with Mistral,getting-started-with-mistral,804
Consulting,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,749
Consulting,"1,002",Pretraining LLMs,pretraining-llms,676
Consulting,19,Quality and Safety for LLM Applications,quality-safety-llm-applications,658
Consulting,31,Efficiently Serving LLMs,efficiently-serving-llms,642
Consulting,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,612
Consulting,37,Prompt Engineering for Vision Models,prompt-engineering-for-vision-models,578
Consulting,32,JavaScript RAG Web Apps with LlamaIndex,javascript-rag-web-apps-with-llamaindex,570
Consulting,46,Function-calling and data extraction with LLMs,function-calling-and-data-extraction-with-llms,569
Consulting,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,567
Consulting,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,560
Consulting,"1,008",Improving Accuracy of LLM Applications,improving-accuracy-of-llm-applications,540
Consulting,"1,010",Large Multimodal Model Prompting with Gemini,large-multimodal-model-prompting-with-gemini,517
Consulting,25,Automated Testing for LLMOps,automated-testing-llmops,516
Consulting,"1,013",Multimodal RAG: Chat with Videos,multimodal-rag-chat-with-videos,510
Consulting,"1,001",Prompt Compression and Query Optimization,prompt-compression-and-query-optimization,496
Consulting,"1,009",Building AI Applications With Haystack,building-ai-applications-with-haystack,490
Consulting,"1,007",Embedding Models: from Architecture to Implementation,embedding-models-from-architecture-to-implementation,436
Consulting,47,Carbon Aware Computing for GenAI developers,carbon-aware-computing-for-genai-developers,391
Consulting,"1,003",Intro to Federated Learning,intro-to-federated-learning,362
Consulting,"1,016",Introducing Multimodal Llama 3.2,introducing-multimodal-llama-3-2,351
Consulting,38,Quantization in Depth,quantization-in-depth,322
Consulting,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,307
Consulting,"1,015",Retrieval Optimization:  From Tokenization to Vector Quantization,retrieval-optimization-from-tokenization-to-vector-quantization,290
Consulting,"1,005",Federated Fine-tuning of LLMs with Private Data,intro-to-federated-learning-c2,123
Consulting,1,AI For Beginner,AI_For_Beginner,1
Consulting,2,AI Code For Everyone,Neural_Networks_and_DeepLearning,1
Consulting,3,Pandas,Pandas,1
Consulting,4,Pandas_test,Pandas_test,1
Data Analyst,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,"49,183"
Data Analyst,6,LangChain for LLM Application Development,langchain,"9,384"
Data Analyst,8,Building Systems with the ChatGPT API,chatgpt-building-system,"8,554"
