job_title_name,course_id,name,en_name,nps
Consulting,40,Building Multimodal Search and RAG,building-multimodal-search-and-rag,100
Consulting,"1,016",Introducing Multimodal Llama 3.2,introducing-multimodal-llama-3-2,88.89
Consulting,"1,012",AI Python for Beginners: Extending Python with Packages and APIs,ai-python-for-beginners-c4,87.76
Consulting,"1,011",AI Python for Beginners: Working with Your Own Data and Documents in Python,ai-python-for-beginners-c3,83.87
Consulting,36,Getting Started with Mistral,getting-started-with-mistral,81.03
Consulting,41,Multi AI Agent Systems with crewAI,multi-ai-agent-systems-with-crewai,80.98
Consulting,22,Advanced Retrieval for AI with Chroma,advanced-retrieval-for-ai,80.65
Consulting,39,Building Agentic RAG with Llamaindex,building-agentic-rag-with-llamaindex,77.46
Consulting,"1,006",AI Python for Beginners: Automating Tasks with Python,ai-python-for-beginners-c2,76.92
Consulting,35,Quantization Fundamentals with Hugging Face,quantization-fundamentals,75.56
Consulting,23,Build LLM Apps with LangChain.js,build-llm-apps-with-langchain-js,75
Consulting,30,Knowledge Graphs for RAG,knowledge-graphs-rag,74.07
Consulting,29,Open Source Models with Hugging Face,open-source-models-hugging-face,72.86
Consulting,27,Serverless LLM Apps Amazon Bedrock,serverless-LLM-apps-amazon-bedrock,71.11
Consulting,998,Generative AI for Everyone,genai4e,71.06
Consulting,20,Building and Evaluating Advanced RAG,building-evaluating-advanced-rag,70.69
Consulting,9,LangChain Chat with Your Data,langchain-chat-with-your-data,70.13
Consulting,25,Automated Testing for LLMOps,automated-testing-llmops,68.29
Consulting,"1,004",AI Python for Beginners: Basics of AI Python Coding,ai-python-for-beginners,67.23
Consulting,44,AI Agents in LangGraph,ai-agents-in-langgraph,66.98
Consulting,6,LangChain for LLM Application Development,langchain,66.37
Consulting,5,ChatGPT Prompt Engineering for Developers,chatgpt-prompt-eng,66.23
Consulting,34,Preprocessing Unstructured Data for LLM Applications,preprocessing-unstructured-data-for-llm-applications,66.15
Consulting,33,Red Teaming LLM Applications,red-teaming-llm-applications,64.79
Consulting,28,Prompt Engineering with Llama 2&3,prompt-engineering-with-llama-2,64.47
Consulting,"1,009",Building AI Applications With Haystack,building-ai-applications-with-haystack,63.64
